	dataflowId	agencyId	version
390	ABS_PERSONS_PROJ	ABS	1.0.0
391	ABS_PHYSICAL_ACCOUNT_LC	ABS	1.0.0
392	ABS_PHYSICAL_ACCOUNT_LU	ABS	1.0.0
393	ABS_REGIONAL_ASGS2016	ABS	1.2.0
394	ABS_REGIONAL_ASGS2021	ABS	1.0.0
395	ABS_REGIONAL_INDIGENOUS	ABS	1.1.0
396	ABS_REGIONAL_INDIGENOUS_2021	ABS	1.0.0
397	ABS_REGIONAL_LGA2017	ABS	1.0.0
398	ABS_REGIONAL_LGA2018	ABS	1.0.0
399	ABS_REGIONAL_LGA2019	ABS	1.0.0
400	ABS_REGIONAL_LGA2020	ABS	1.2.0
401	ABS_REGIONAL_LGA2021	ABS	1.0.0
402	ABS_REGIONAL_MIGRATION	ABS	1.0.0
403	ABS_REGIONAL_REMOTENESS	ABS	1.2.0
404	ABS_SEIFA2016_LGA	ABS	1.0.0
405	ABS_SEIFA2016_POA	ABS	1.0.0
406	ABS_SEIFA2016_SA1	ABS	1.0.0
407	ABS_SEIFA2016_SA2	ABS	1.0.0
408	ABS_SEIFA2016_SSC	ABS	1.0.0
409	ABS_SEIFA_LGA	ABS	1.0.0
410	ABS_SEIFA_SA2	ABS	1.0.0
411	ABS_SEIFA_SLA	ABS	1.0.0
412	ABS_SU_TABLE_2018	ABS	1.0.0
413	ABS_SU_TABLE_2020	ABS	1.0.0
414	ABS_SU_TABLE_2021	ABS	1.0.0
415	ALC	ABS	1.0.0
416	AMLPS_PART_2017	ABS	1.0.0
417	AMLPS_RESP_2017	ABS	1.0.0
418	ANA_AGG	ABS	1.0.0
419	ATSI_BIRTHS_SUMM	ABS	1.0.0
420	ATSI_FERTILITY	ABS	1.0.0
421	AWE	ABS	1.0.0
422	BA_GCCSA	ABS	1.0.0
423	BA_LGA2018	ABS	1.0.0
424	BA_LGA2019	ABS	1.0.0
425	BA_LGA2020	ABS	1.0.0
426	BA_LGA2021	ABS	1.0.0
427	BA_LGA2022	ABS	1.0.0
428	BA_SA2	ABS	2.0.0
429	BA_SA2_201116	ABS	1.0.0
430	BCS_BUSINF	ABS	1.0.0
